,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Love Again (Akinyele Back) [feat. Gangsta Boo],Run the Jewels 2,Run The Jewels,2014-10-24,225120,0,0.793,0.138,0.793,0.695,0.0,0.0794,-7.951,0.306,145.978,4
1,Burn Slow,ELDORADO,Ro James,2017-03-29,216560,41,0.526,0.296,0.526,0.63,3.04e-05,0.131,-7.068,0.0548,120.422,4
2,Get You (feat. Kali Uchis),Get You - Single,Daniel Caesar,2016-10-21,277297,63,0.659,0.426,0.659,0.295,6.95e-05,0.0795,-8.528,0.0322,74.037,4
3,Ooh Nah Nah (feat. Masego),Her Too,SiR,2017-02-10,240000,34,0.85,0.052,0.85,0.273,2.22e-06,0.104,-11.567,0.278,116.894,4
4,Aisha,OYO (Deluxe Edition),Angelique Kidjo,2010-04-06,173826,7,0.6,0.853,0.6,0.277,0.000431,0.333,-9.721,0.0387,127.999,4
5,International Lover,1999,Prince,1982-10-27,397880,35,0.595,0.138,0.595,0.277,0.000171,0.304,-19.08,0.0408,68.572,4
6,No Limit,No Limit,G-Eazy,2017-09-07,245386,2,0.838,0.0117,0.838,0.771,0.0,0.0853,-3.791,0.244,175.957,4
7,Say It,Because Of You,Ne-Yo,2007-01-01,281293,45,0.407,0.0165,0.407,0.378,0.0,0.0773,-7.745,0.0638,133.083,4
8,Touch Me,Touch Me,MAAD,2017-02-01,203483,0,0.594,0.098,0.594,0.28,0.000256,0.597,-11.552,0.162,144.947,4
9,A.D.I.D.A.S. (All Day I),ELDORADO,Ro James,2017-03-29,309986,45,0.412,0.0692,0.412,0.384,3.09e-05,0.108,-10.236,0.0281,93.067,4
10,Discipline,Discipline,Janet Jackson,2008-01-01,300293,27,0.424,0.722,0.424,0.421,6.39e-06,0.473,-10.591,0.161,146.027,3
11,F It Up,SAVAGE,Tank,2017-09-29,263718,43,0.341,0.782,0.341,0.396,1.4e-05,0.107,-6.955,0.115,80.749,4
12,Too Deep,SEPT 5TH,dvsn,2016-03-27,200223,59,0.616,0.284,0.616,0.243,0.149,0.264,-13.975,0.103,183.948,4
13,Already Knew That,ELDORADO,Ro James,2017-03-29,209530,44,0.732,0.722,0.732,0.747,0.0,0.267,-4.443,0.0571,106.018,4
14,Falsetto,Lovehate,The-Dream,2007-01-01,271173,56,0.732,0.163,0.732,0.549,6.01e-05,0.122,-4.194,0.0312,131.006,4
15,Japanese Denim,Get You - Single,Daniel Caesar,2016-10-21,270846,77,0.707,0.0905,0.707,0.238,2.42e-06,0.0842,-8.818,0.0379,124.156,3
16,Over My Head,Sound & Color,Alabama Shakes,2015-04-21,233320,0,0.455,0.876,0.455,0.299,0.0308,0.113,-10.733,0.205,175.022,3
17,Fuckin' wit Me,"Sex, Love & Pain II",Tank,2016-01-22,242306,54,0.364,0.298,0.364,0.537,0.0,0.191,-5.912,0.164,185.53,3
18,Luchini Aka This Is It,Profilin': The Hits,Various Artists,1990-01-01,239533,44,0.693,0.0469,0.693,0.905,0.0,0.268,-8.701,0.303,82.911,4
19,Look Back At Me,Still Da Baddest,Trina,2008-01-01,253053,45,0.797,0.0333,0.797,0.659,0.0,0.23,-6.435,0.345,185.947,4
20,Red Rum Melody,Pillow Talk,Tiffany Gouché,2015-12-15,199134,0,0.488,0.46,0.488,0.356,0.0,0.111,-7.467,0.375,195.405,4
21,Ammunition (feat. Wes Period),TrapHouse Jodeci,Ye Ali,2016-09-02,247066,0,0.727,0.176,0.727,0.339,0.0,0.0898,-10.299,0.122,95.21,4
22,Put It in Your Mouth,Put It In Your Mouth (EP),Akinyele,1996-08-13,202653,0,0.654,0.0575,0.654,0.766,0.000121,0.214,-5.43,0.301,81.573,4
23,First Fuck,First Fuck,6LACK,2017-02-24,205489,66,0.35,0.916,0.35,0.315,2.82e-06,0.0959,-9.753,0.064,88.449,4
24,Rocket,BEYONCÉ [Platinum Edition],Beyoncé,2014-11-24,391906,61,0.495,0.5,0.495,0.403,0.0,0.7,-9.731,0.301,140.415,3
25,Body,Fin,Syd,2017-02-03,262053,51,0.88,0.0587,0.88,0.507,0.474,0.109,-7.782,0.0921,109.977,4
26,Anytime Anyplace,Greatest Hits of Janet Jackson,Exposé,2015-03-01,288000,10,0.686,0.747,0.686,0.328,0.00336,0.108,-9.199,0.0319,132.092,4
27,The Show Must Go On - Remastered 2011,Innuendo (Deluxe Remastered Version),Queen,1991-02-05,277826,57,0.306,0.414,0.306,0.686,0.0,0.112,-6.928,0.0347,83.402,4
28,Re-Up Intro,Re-Up Gang The Saga Continues,Clipse,2008-04-22,219613,20,0.605,0.108,0.605,0.409,2.34e-05,0.111,-10.477,0.358,91.325,4
29,Lights Out (Hymn Too),"H.I.M., Vol. 2",H.I.M.,2017-07-28,379847,38,0.581,0.258,0.581,0.45,0.00031,0.135,-7.293,0.0444,76.544,3
30,Say It Again,H.E.R.,H.E.R.,2017-10-20,172240,52,0.324,0.725,0.324,0.493,0.000111,0.116,-9.995,0.0723,86.126,5
31,Drown in It,Fin,Syd,2017-02-03,70253,36,0.378,0.921,0.378,0.364,0.0,0.192,-13.639,0.258,182.256,5
32,Lyk Dis,Yes Lawd!,NxWorries,2016-10-21,150760,0,0.702,0.021,0.702,0.496,0.0,0.395,-6.175,0.238,85.023,4
33,The Deepest,Pillow Talk,Tiffany Gouché,2015-12-15,166440,0,0.568,0.338,0.568,0.703,0.0,0.208,-5.843,0.288,123.802,4
34,Never Enough (feat. Tiffany Gouche),Velvet Portraits,Terrace Martin,2016-04-01,332735,0,0.414,0.117,0.414,0.527,0.154,0.598,-9.302,0.0365,108.139,4
35,305 To My City,Nothing Was The Same (Deluxe),Drake,2013-01-01,255853,0,0.419,0.0567,0.419,0.494,0.0,0.144,-8.782,0.345,67.622,5
36,If This Is Love,The Everlasting Wave,Xavier Omär,2016-10-14,220320,0,0.744,0.224,0.744,0.472,0.000215,0.239,-9.773,0.111,104.058,4
37,Me U & Hennessy (feat. Lil Wayne),Me U & Hennessy (feat. Lil Wayne),DeJ Loaf,2015-04-20,224971,60,0.417,0.56,0.417,0.551,0.0,0.129,-8.361,0.272,86.848,4
38,Comfortable,All Have Fallen,ELHAE,2016-03-11,184960,36,0.688,0.171,0.688,0.288,1.57e-06,0.12,-10.1,0.101,122.021,4
39,Forever Ain't Enough,Round Two,J. Holiday,2009-01-01,262757,46,0.661,0.588,0.661,0.366,0.0,0.134,-8.176,0.0415,129.744,4
40,Help Me Make It Through the Night,The Essential Highwaymen,The Highwaymen,2010-10-26,239226,0,0.59,0.794,0.59,0.216,0.00405,0.111,-13.796,0.0355,141.453,4
41,Might Be,Venice,Anderson .Paak,2014-10-28,237165,56,0.684,0.357,0.684,0.585,1.23e-06,0.728,-7.601,0.0712,148.507,4
42,Fool for You,She,Alice Smith,2013-03-19,222456,39,0.661,0.106,0.661,0.815,4.39e-05,0.3,-5.407,0.0497,141.997,4
43,Every Kind Of Way,H.E.R.,H.E.R.,2017-10-20,160173,65,0.417,0.637,0.417,0.299,2.22e-06,0.136,-8.499,0.0441,95.529,4
44,Survival of the Fittest,The Infamous,Mobb Deep,1995-04-25,224533,70,0.813,0.125,0.813,0.703,1.26e-06,0.237,-5.077,0.268,94.828,4
45,Love Kills - The Ballad,Forever (Deluxe Edition),Queen,2014-01-01,252613,15,0.496,0.115,0.496,0.792,2.62e-05,0.13,-6.134,0.0418,126.585,4
46,Poison,Poison,Brent Faiyaz,2016-08-03,212992,71,0.689,0.711,0.689,0.394,0.000905,0.0859,-10.102,0.065,117.489,3
47,Valdez Off Crenshaw,Velvet Portraits,Terrace Martin,2016-04-01,271080,0,0.487,0.163,0.487,0.627,0.806,0.138,-8.81,0.0376,149.727,4
48,Da Rockwilder,Blackout!,Method Man,1999-01-01,136093,68,0.612,0.0137,0.612,0.659,0.0,0.417,-6.995,0.406,99.137,4
49,Silicon Valley,Malibu,Anderson .Paak,2016-01-15,244840,52,0.545,0.302,0.545,0.451,0.0,0.382,-9.166,0.194,115.21,4
50,Drip,Drip,Luke James,2017-08-18,217253,39,0.617,0.0227,0.617,0.418,5.19e-06,0.0854,-5.228,0.0441,73.018,4
51,Beastin' (MCA),Mudface,Redman,2015-11-13,152316,21,0.456,0.0516,0.456,0.801,0.0,0.597,-5.933,0.318,94.847,4
